#DataThief /Users/stan/Downloads/./sno_pmt.png Wednesday 27-Jul-2011 11:20:44 AM
#-0.7993, -96.1588
#13.2215, -96.1106
#27.2424, -96.0623
#34.2823, -89.7213
#37.8465, -77.0754
#46.3081, -66.5182
#57.551, -60.8646
65.305, -51.7136
75.8632, -42.553
87.1094, -36.1975
92.7603, -27.0538
99.1188, -16.5038
101.2842, -3.1609
100.6389, 8.7687
97.1926, 21.3905
91.64, 33.3031
83.2766, 43.8024
73.498, 51.4893
62.3141, 58.4695
51.1237, 64.046
39.2288, 68.9181
26.6265, 72.3841
13.3165, 74.4439
-0.701, 75.0976
-14.7219, 75.0493
-27.3537, 72.1984
-39.9889, 68.6456
-51.9295, 63.6914
-63.8767, 57.3335
-75.1262, 50.2761
-84.9801, 41.8197
-93.4417, 31.2626
-99.0992, 20.7151
-101.9656, 7.3697
-101.3268, -5.9636
-99.2859, -19.2921
-94.431, -30.5053
-86.0677, -41.0045
-76.2957, -50.0952
-65.8128, -57.0778
-54.6256, -63.3562
#-43.445, -71.0383
#-37.8858, -81.5472
#-35.8449, -94.8757
#-22.5316, -96.2336
#-8.5108, -96.1854
